,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Evento ,Resultado,Acercar,Alejar,Situacion,Duración,Jornada,Local,Visitante,Tipo_de_Accion
167,MT Ofensivo,MT OFENSIVO 034,3903,3893,3910,7,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
168,MT Ofensivo,MT OFENSIVO 034,3903,3893,3910,9,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
169,MT Ofensivo,MT OFENSIVO 034,3903,3893,3910,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
170,MT Ofensivo,MT OFENSIVO 035,3944,3934,3954,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
171,MT Ofensivo,MT OFENSIVO 035,3944,3934,3954,5,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
172,MT Ofensivo,MT OFENSIVO 035,3944,3934,3954,7,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
173,MT Ofensivo,MT OFENSIVO 035,3944,3934,3954,9,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
174,MT Ofensivo,MT OFENSIVO 035,3944,3934,3954,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
175,MT Ofensivo,MT OFENSIVO 036,4233,4223,4241,1,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
176,MT Ofensivo,MT OFENSIVO 036,4233,4223,4241,5,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
177,MT Ofensivo,MT OFENSIVO 036,4233,4223,4241,6,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
178,MT Ofensivo,MT OFENSIVO 036,4233,4223,4241,10,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
179,MT Ofensivo,MT OFENSIVO 036,4233,4223,4241,14,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
180,MT Ofensivo,MT OFENSIVO 037,4524,4514,4529,1,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
181,MT Ofensivo,MT OFENSIVO 037,4524,4514,4529,4,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
182,MT Ofensivo,MT OFENSIVO 037,4524,4514,4529,7,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
183,MT Ofensivo,MT OFENSIVO 037,4524,4514,4529,10,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
